area_type,area,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28
state,Johor,0.088,-0.166,-0.65,-0.233,0.135,0.622,0.17,-0.035,-0.346,0.031,0.015,-0.088,-0.218,-0.108,0.145,0.107,0.03,-0.049,-0.169,0.215,0.177,-0.008,0.121,0.056,0.034,-0.008,-0.103,-0.291
state,Kedah,0.007,0.113,-0.048,0.051,-0.08,0.007,-0.962,0.001,0.125,0.076,0.079,0.314,0.12,0.069,-0.328,-0.346,-0.106,0.275,0.006,-0.162,-0.126,0.0,-0.005,-0.126,-0.075,-0.005,0.208,0.046
state,Kelantan,0.053,0.22,0.875,-0.73,0.353,0.219,-0.975,-0.446,0.245,0.5,0.347,0.195,0.222,0.168,-0.5,-0.401,0.173,0.485,0.018,-0.45,-0.234,0.0,-0.55,-0.481,-0.31,-0.124,0.474,0.85
state,Melaka,-0.808,-0.658,0.262,-0.593,-0.178,0.598,0.007,0.046,-0.162,-0.138,-0.04,-0.025,-0.244,0.043,0.113,0.137,0.233,-0.049,-0.513,0.018,0.155,0.0,0.35,-0.474,0.198,0.047,-0.117,-0.246
state,Negeri Sembilan,-0.238,-0.038,0.602,-0.875,0.126,0.675,-0.23,-0.167,-0.03,-0.072,-0.015,0.098,-0.071,0.162,-0.014,0.025,0.328,0.012,-0.093,-0.1,0.006,0.0,0.153,0.152,0.182,0.192,-0.276,-0.126
state,Pahang,0.23,0.216,-0.053,-0.615,0.442,0.385,0.059,-0.788,-0.267,0.042,0.127,-0.024,0.064,-0.051,-0.29,-0.228,-0.375,0.012,-0.263,0.0,-0.052,0.0,-0.033,0.017,0.09,0.238,0.491,0.152
state,Perak,0.105,0.214,0.107,0.121,0.236,-0.023,-0.526,-0.451,-0.051,-0.167,-0.525,0.044,-0.206,0.575,-0.296,-0.263,0.161,0.187,0.126,-0.089,-0.005,-0.006,-0.001,-0.034,0.171,0.348,0.407,-0.007
state,Perlis,-0.911,-0.494,-0.599,0.188,-0.645,-0.606,-0.942,0.016,0.283,-0.356,-0.067,0.475,-0.475,0.291,-0.34,-0.302,-0.33,-0.049,0.025,-0.162,0.254,0.0,-0.002,-0.625,-0.287,0.287,0.55,0.227
state,Pulau Pinang,-0.885,-0.443,-0.41,0.074,-0.503,-0.566,-0.015,0.182,0.085,-0.367,-0.383,0.213,-0.39,0.069,0.117,0.077,-0.05,-0.536,-0.157,0.099,0.253,0.0,0.28,0.211,0.136,-0.162,-0.561,-0.347
state,Sabah,0.547,0.825,0.087,-0.611,0.393,0.053,0.003,-0.778,-0.044,0.387,0.003,-0.265,0.185,-0.465,-0.269,-0.575,0.4,0.9,0.725,0.194,-0.085,-0.325,-0.32,-0.293,-0.581,0.003,-0.675,0.395
state,Sarawak,0.975,0.295,0.057,0.025,0.525,0.094,0.738,-0.9,0.018,0.045,-0.005,0.062,-0.345,0.256,-0.213,-0.31,0.281,0.286,0.036,-0.001,0.17,-0.145,-0.22,0.104,-0.425,0.775,-0.365,0.478
state,Selangor,-0.089,0.112,-0.462,-0.124,-0.073,-0.009,0.102,0.084,-0.268,-0.067,-0.087,-0.4,0.135,-0.514,0.469,0.3,0.352,-0.706,0.034,0.45,-0.029,0.0,0.35,0.046,0.056,-0.725,-0.604,-0.716
state,Terengganu,0.036,0.019,0.017,0.382,0.275,-0.046,0.925,-0.585,0.105,0.093,0.6,0.106,0.129,-0.042,0.006,0.022,-0.319,0.117,-0.009,-0.359,-0.114,0.0,-0.061,-0.498,-0.053,0.152,-0.333,0.369
state,W.P. Kuala Lumpur,-0.978,-0.759,0.014,-0.423,-0.85,-0.825,0.024,1.0,-0.35,-0.425,-0.278,-0.282,-0.356,-0.449,0.75,0.502,-0.151,-0.95,-0.045,0.294,0.375,0.0,0.35,0.8,0.65,-0.528,0.106,-0.399
