area_type,area,age_0_4_male,age_5_9_male,age_10_14_male,age_15_19_male,age_20_24_male,age_25_29_male,age_30_34_male,age_35_39_male,age_40_44_male,age_45_49_male,age_50_54_male,age_55_59_male,age_60_64_male,age_65_69_male,age_70_74_male,age_75_79_male,age_80_84_male,age_85_above_male,age_0_4_female,age_5_9_female,age_10_14_female,age_15_19_female,age_20_24_female,age_25_29_female,age_30_34_female,age_35_39_female,age_40_44_female,age_45_49_female,age_50_54_female,age_55_59_female,age_60_64_female,age_65_69_female,age_70_74_female,age_75_79_female,age_80_84_female,age_85_above_female,sex_male,sex_female,agegroup_child,agegroup_working,agegroup_elderly,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,nationality_local,nationality_foreign,marital_never_married,marital_married,marital_widowed,marital_divorced,housing_owned,housing_rented,housing_quarters,labour_working,labour_unemployed,labour_out
country,Malaysia,1280168,1660274,1471571,1419395,1323087,1505018,1687137,1605252,1243074,988342,735630,722725,497781,375507,234895,119079,65187,32095,1270242,1554019,1335566,1298597,1210536,1284676,1386326,1348841,1106147,876042,716822,697046,506898,383483,240071,130278,84068,51510,52.28839550552379,47.71160449447621,26.41766046786205,68.29324458658225,5.289094945555705,69.39546445855275,23.162703446310477,6.717155669309187,0.7246764258275932,63.518400635367065,9.064055547157343,18.697297178185547,6.069737206865823,0.8788135006873434,1.771695931736872,91.70635784671092,8.293642153289086,35.819630031224776,58.46211620869145,4.038933289237702,1.679320470846068,,,,,,
state,Johor,139959,177624,171301,171217,174638,214664,232321,211206,157888,129415,93255,94889,63469,49570,31624,15275,8978,4014,143447,167580,159399,156402,144987,164895,167526,161005,136588,110579,89670,90086,64189,49732,30595,15079,10345,6259,53.40357186501632,46.59642813498368,23.924911526384964,70.55166634660708,5.523422127007958,60.1320199441648,32.75033240726264,6.619558363724402,0.4980892848481629,59.72259562507638,3.029326602937399,28.700716019024007,7.050879498811622,0.8068494414752335,0.6896328126753573,92.04006813528297,7.959931864717047,36.820055415797206,57.93036525300306,3.719266417889157,1.5303129133105806,,,,,,
state,Kedah,78154,119697,110063,98402,78005,74132,103651,87885,75732,62880,49009,53473,36205,27938,17238,8264,4629,1929,77995,115664,101416,90846,76097,67269,83602,82841,74287,58979,51819,55222,38977,30850,18214,9928,6629,3506,51.0121153574577,48.9878846425423,28.290389490233537,65.65146261166814,6.0581478980983166,80.11245878473858,12.295886324383734,6.332185193907993,1.259469696969697,78.47418654263083,0.7634791151655675,12.384942106860802,5.885728199933659,0.4605365325671486,2.0311275028419926,95.62044583276835,4.379554167231625,32.08649684288138,61.27709585450749,5.282135942446662,1.354271360164469,,,,,,
state,Kelantan,71369,104694,99967,104583,84328,67763,61550,55609,44839,41865,39031,40325,31347,22405,16021,8327,3939,2101,70347,98039,92679,102608,87289,62374,56653,51845,43360,44730,43098,43177,34919,24345,17010,10204,6111,3650,50.21269165261275,49.78730834738725,29.963442140339115,63.67042473058593,6.366133129074964,96.56453253160284,2.54245535081684,0.267755672522008,0.6252564450583001,95.52368450561534,0.3821476250222455,2.8298450042705694,0.2131658503956204,0.184490831525338,0.866666183170888,98.03057292576128,1.9694270742387312,40.57871403134333,52.03152821823765,5.839874916094906,1.5498828343241169,,,,,,
state,Melaka,44931,40574,35931,54323,48950,44481,61686,40396,43542,22881,19973,20955,16797,12914,8485,4278,2544,1301,42120,37662,32735,48249,42503,39902,40108,33952,39881,23201,20707,21487,17251,14482,9033,4810,3388,2015,52.57685080947249,47.42314919052751,23.43213531671788,70.2329061284339,6.334958554848222,71.66950087398543,22.131510814019567,5.646021344438681,0.5529669675563238,68.87837680834271,2.632338035391636,19.20188536379188,5.2722880367938405,0.4853629906212566,3.5297487650586725,92.8821106779858,7.117889322014206,38.40082285814462,55.36460230805683,4.758141611585755,1.4764332222127872,,,,,,
state,Negeri Sembilan,45461,60389,49932,52369,51896,54453,61361,56338,40062,32532,25938,31342,22149,18409,11364,5393,3237,1349,48031,54880,43383,47265,48894,46825,49315,46286,36283,30281,27896,31619,23530,18341,11496,5762,3823,2090,51.99895997746617,48.00104002253382,25.17354542681758,68.0543078433366,6.7721467298458125,63.27527381828234,21.943970698507105,14.275645651188936,0.505109832021614,62.63094033704063,2.6103065566420605,19.857346909183036,13.129784478663703,0.815517669549507,0.95610404892106,94.35446101332197,5.645538986678044,35.28977503142301,58.347877910689206,4.766887206522543,1.5954598513652485,,,,,,
state,Pahang,54385,85984,84417,82330,66520,69506,75126,76680,63658,47157,35864,34011,24644,19249,13333,6497,3470,1320,53972,80760,77030,74626,55692,51756,58567,60517,56457,41881,33781,32694,24952,19850,12630,6111,3993,1875,53.0480520582293,46.9519479417707,27.433505415400667,67.0157953113659,5.550699273233436,81.04960911427874,14.651573125037173,3.690912815632785,0.6079049450513141,76.50404230516654,1.5185116524591606,13.553552295457475,3.708237630357665,0.653932803157177,4.061723313401978,95.09424713833702,4.905752861662985,35.69693624549038,58.23222966667131,4.616612806619214,1.4542212812190944,,,,,,
state,Perak,84371,112644,104005,115898,118430,107511,106645,105998,90440,67427,62648,67371,53801,43148,30078,15740,9496,4587,79816,103624,94163,106571,101578,79875,83257,86338,77770,67928,66039,70713,57884,47240,33628,18529,12806,8044,52.09201291164688,47.90798708835312,23.181630429948864,67.8723626735298,8.946006896521332,60.8774304529234,27.216548117269816,11.451486931234584,0.454534498572206,57.852935909305984,3.028235513759589,24.154691369252347,9.68886328389638,1.2527438451531845,4.022530078632522,94.74351583167105,5.256484168328965,36.28200499974214,55.55136950048721,6.374046941118672,1.7925785586519698,,,,,,
state,Perlis,7825,10107,12334,19413,16043,11051,10120,9866,12675,5664,5994,6272,5016,4111,2881,1577,933,463,7349,9283,11373,17652,16280,9809,9491,9453,13248,7424,6530,6719,5508,5204,3150,1880,1291,896,49.96577566386436,50.03422433613564,20.45421836881549,71.68787405444303,7.857907576741492,88.79531701711228,7.354868829792966,1.84015370526656,2.0096604478281948,87.79998946943503,0.5862014497077769,9.19634238376889,1.27033715358829,0.1842848868841813,0.9628446566158274,97.74294890920898,2.257051090791021,39.32576724195823,52.326908871130215,6.5596669129004095,1.7876569740111476,,,,,,
state,Pulau Pinang,53495,80934,65587,61843,62313,84783,94998,90957,66389,56520,40638,48592,31278,25403,15522,7685,3903,1714,50365,71542,56192,55608,65984,78454,87680,79882,63064,52077,42787,50829,32543,26929,16496,8823,5260,3336,51.284270040594,48.715729959406,21.725690284732572,71.66257279196509,6.611736923302335,44.74721134289325,44.9011609664261,9.71901537246058,0.6326123182200599,45.51739393991628,4.329164763374043,37.62388639425881,8.381439952195036,2.414667850299212,1.7334470999566192,91.92538518333376,8.074614816666235,34.143018448164526,59.36867433504038,4.593247592101682,1.8950596246934135,,,,,,
